id_user,umur,jenis_kelamin,tinggi_badan,berat_badan,target_berat,aktivitas_harian,rutin_olahraga,ngemil_malam,jam_tidur,motivasi
87,19,laki-laki,191.9,104.8,85.4,sedang,jarang,sering,4,Menurunkan Berat Badan
88,51,laki-laki,194.2,84.9,85.3,rendah,jarang,jarang,4,Meningkatkan Kebugaran
89,38,laki-laki,181,68.1,74.6,sedang,jarang,sering,4,Meningkatkan Kebugaran
90,20,laki-laki,180.7,76.8,75.2,tinggi,sering,jarang,7,Meningkatkan Kebugaran
91,43,laki-laki,173.7,80.7,66.2,tinggi,jarang,tidak pernah,5,Menurunkan Berat Badan
92,31,laki-laki,162,56.3,55.2,tinggi,sering,sering,8,Meningkatkan Kebugaran
93,23,laki-laki,184,75.6,76.1,tinggi,sering,sering,8,Meningkatkan Kebugaran
94,23,laki-laki,197.2,71.2,75.8,rendah,tidak pernah,tidak pernah,8,Meningkatkan Berat Badan
95,56,laki-laki,186,88.8,78.7,sedang,jarang,tidak pernah,7,Menurunkan Berat Badan
96,46,laki-laki,169,68.8,61.4,rendah,jarang,sering,8,Meningkatkan Kebugaran
97,49,laki-laki,187.9,84.3,85.7,sedang,jarang,sering,9,Meningkatkan Kebugaran
98,54,laki-laki,198.3,101.5,94.3,rendah,tidak pernah,jarang,8,Menjaga Kesehatan
99,43,laki-laki,181,94.9,82.5,rendah,tidak pernah,tidak pernah,4,Menurunkan Berat Badan
100,47,laki-laki,168.5,79.3,64.5,tinggi,sering,jarang,8,Menurunkan Berat Badan
101,47,laki-laki,185.4,82.7,92.1,rendah,jarang,sering,4,Meningkatkan Berat Badan
102,22,laki-laki,167.6,57.7,65.8,rendah,tidak pernah,jarang,6,Meningkatkan Kebugaran
103,26,laki-laki,170,65.7,60.3,sedang,sering,sering,6,Menjaga Kesehatan
104,20,laki-laki,167.6,66.8,67.2,sedang,sering,jarang,9,Meningkatkan Kebugaran
105,35,laki-laki,169.1,67.4,58.3,sedang,sering,jarang,6,Meningkatkan Kebugaran
106,56,laki-laki,172.6,81.2,88.7,tinggi,sering,tidak pernah,6,Meningkatkan Berat Badan
107,61,laki-laki,168.1,74.1,56.8,rendah,tidak pernah,jarang,4,Meningkatkan Kebugaran
108,30,laki-laki,171.4,69,70.4,tinggi,sering,sering,7,Meningkatkan Kebugaran
109,33,laki-laki,167.9,63.2,65.7,sedang,sering,tidak pernah,5,Menjaga Kesehatan
110,27,laki-laki,182.6,77.1,78.4,sedang,jarang,sering,5,Meningkatkan Kebugaran
111,18,laki-laki,181.7,91.1,77.3,sedang,sering,tidak pernah,4,Menurunkan Berat Badan
112,51,laki-laki,160.3,67.2,59.3,sedang,jarang,jarang,8,Meningkatkan Kebugaran
113,36,laki-laki,167.8,60.9,60.2,sedang,sering,tidak pernah,6,Meningkatkan Kebugaran
114,53,laki-laki,190.2,74.8,75.2,sedang,jarang,sering,9,Meningkatkan Kebugaran
115,20,laki-laki,180.3,64.1,71.7,rendah,tidak pernah,jarang,5,Meningkatkan Berat Badan
116,51,laki-laki,186.5,113.8,96.1,tinggi,sering,tidak pernah,4,Menurunkan Berat Badan
117,19,laki-laki,166.3,61.4,51.6,rendah,tidak pernah,tidak pernah,4,Menurunkan Berat Badan
118,19,laki-laki,197.9,96.6,79.7,tinggi,sering,sering,4,Meningkatkan Kebugaran
119,18,laki-laki,198.2,100.5,91.7,rendah,tidak pernah,sering,6,Menjaga Kesehatan
120,33,laki-laki,184.6,89.6,77.5,rendah,tidak pernah,sering,6,Menurunkan Berat Badan
121,47,laki-laki,161.5,54.6,61,rendah,tidak pernah,jarang,9,Menjaga Kesehatan
122,52,laki-laki,188.5,111.2,100,sedang,jarang,sering,9,Menurunkan Berat Badan
123,44,laki-laki,197.3,96.5,90.7,sedang,jarang,sering,4,Meningkatkan Kebugaran
124,22,laki-laki,181.8,83.7,67.4,tinggi,jarang,tidak pernah,7,Menurunkan Berat Badan
125,37,laki-laki,192.3,107,78.7,tinggi,sering,tidak pernah,9,Meningkatkan Kebugaran
126,43,laki-laki,191,103.7,93,rendah,jarang,jarang,5,Menurunkan Berat Badan
127,45,laki-laki,196.9,115.5,78.3,tinggi,sering,sering,8,Meningkatkan Kebugaran
128,52,laki-laki,172.5,73.9,67.4,rendah,jarang,tidak pernah,6,Menurunkan Berat Badan
129,19,laki-laki,191.4,96.7,74,rendah,jarang,jarang,9,Menjaga Kesehatan
130,47,laki-laki,178.5,68.6,67.5,sedang,jarang,tidak pernah,7,Menjaga Kesehatan
131,42,laki-laki,193.8,111.5,81.9,tinggi,sering,sering,6,Menjaga Kesehatan
132,61,laki-laki,172.2,64.7,64,sedang,jarang,tidak pernah,9,Meningkatkan Kebugaran
133,38,laki-laki,191.8,73.7,75.1,rendah,tidak pernah,tidak pernah,6,Meningkatkan Kebugaran
134,47,laki-laki,185.7,102.6,86.6,rendah,tidak pernah,tidak pernah,6,Menurunkan Berat Badan
135,35,laki-laki,173.1,76.9,70.4,sedang,jarang,tidak pernah,6,Menjaga Kesehatan
136,45,laki-laki,163.2,67.3,61.1,rendah,jarang,tidak pernah,5,Menurunkan Berat Badan
137,62,laki-laki,189.1,63.9,73.1,sedang,tidak pernah,sering,4,Menjaga Kesehatan
138,38,laki-laki,171.5,76.2,65.4,tinggi,sering,sering,6,Menurunkan Berat Badan
139,23,laki-laki,160.4,70.6,61.3,rendah,tidak pernah,jarang,4,Menurunkan Berat Badan
140,22,laki-laki,179.3,85.7,76.1,tinggi,sering,tidak pernah,4,Menurunkan Berat Badan
141,65,laki-laki,173.1,92.3,80.2,sedang,jarang,sering,7,Menurunkan Berat Badan
142,22,laki-laki,179.9,70,59,sedang,sering,jarang,9,Menurunkan Berat Badan
143,37,laki-laki,197.2,72.9,92.1,rendah,jarang,sering,5,Meningkatkan Kebugaran
144,37,laki-laki,191.9,82.9,68.6,sedang,sering,sering,5,Menurunkan Berat Badan
145,20,laki-laki,169.1,68.4,67.8,tinggi,sering,jarang,8,Meningkatkan Kebugaran
146,21,laki-laki,163.3,64.4,67.6,rendah,jarang,jarang,4,Meningkatkan Berat Badan
147,47,laki-laki,175.4,78.3,62.7,tinggi,sering,tidak pernah,9,Menurunkan Berat Badan
148,20,laki-laki,197.9,84.2,93.7,tinggi,jarang,jarang,4,Meningkatkan Berat Badan
149,40,laki-laki,160.4,73.7,51.5,tinggi,jarang,jarang,5,Menjaga Kesehatan
150,55,laki-laki,162.4,84,67.8,sedang,jarang,tidak pernah,5,Menurunkan Berat Badan
151,55,laki-laki,161.4,83.8,75.3,rendah,tidak pernah,tidak pernah,9,Menurunkan Berat Badan
152,60,laki-laki,190.8,93.5,73.8,rendah,jarang,tidak pernah,8,Menjaga Kesehatan
153,44,laki-laki,184.6,99.1,68.7,rendah,tidak pernah,sering,5,Menjaga Kesehatan
154,48,laki-laki,192.3,89.3,82.8,tinggi,sering,tidak pernah,5,Meningkatkan Kebugaran
155,40,laki-laki,189.9,86.3,87.5,sedang,sering,tidak pernah,4,Menjaga Kesehatan
156,61,laki-laki,186.2,73.7,81.1,tinggi,jarang,jarang,5,Meningkatkan Kebugaran
157,64,laki-laki,197.4,116.1,99.8,tinggi,sering,jarang,6,Menurunkan Berat Badan
158,44,laki-laki,189.5,78.3,79.1,tinggi,sering,tidak pernah,5,Menjaga Kesehatan
159,62,laki-laki,174,88.7,71.7,sedang,jarang,sering,6,Menjaga Kesehatan
160,23,laki-laki,165.9,68.9,58.6,tinggi,tidak pernah,jarang,5,Menjaga Kesehatan
161,22,laki-laki,168.6,71.1,76.4,sedang,jarang,jarang,8,Meningkatkan Berat Badan
162,43,laki-laki,196.6,115.3,79.3,rendah,tidak pernah,sering,8,Meningkatkan Kebugaran
163,33,laki-laki,198.2,103.4,91.4,tinggi,jarang,jarang,9,Meningkatkan Kebugaran
164,36,laki-laki,172,79.8,74.4,sedang,jarang,tidak pernah,9,Menurunkan Berat Badan
165,22,laki-laki,176.5,68.2,68.3,rendah,jarang,jarang,5,Menjaga Kesehatan
166,30,laki-laki,181.5,76.2,80.3,rendah,jarang,tidak pernah,7,Meningkatkan Berat Badan
167,33,laki-laki,188.9,112.3,100.4,sedang,jarang,jarang,6,Menurunkan Berat Badan
168,41,laki-laki,195.1,94.7,89,tinggi,sering,tidak pernah,9,Menjaga Kesehatan
169,26,laki-laki,167.6,46.3,63.7,sedang,tidak pernah,sering,7,Meningkatkan Kebugaran
170,27,laki-laki,181.7,79.2,70.9,rendah,jarang,tidak pernah,6,Menurunkan Berat Badan
171,63,laki-laki,169.6,72.7,68.6,rendah,jarang,sering,6,Menurunkan Berat Badan
172,61,laki-laki,177.9,73.7,64.4,rendah,sering,jarang,8,Meningkatkan Kebugaran
173,41,laki-laki,176.9,75.9,69.3,tinggi,sering,sering,5,Menurunkan Berat Badan
174,18,laki-laki,161.6,65.4,63,tinggi,jarang,sering,8,Menjaga Kesehatan
175,21,laki-laki,169.7,69.5,64.9,sedang,jarang,jarang,7,Menurunkan Berat Badan
176,30,laki-laki,172.2,69.4,69.3,tinggi,jarang,tidak pernah,5,Meningkatkan Kebugaran
177,58,laki-laki,181.9,85.1,68.9,sedang,sering,sering,7,Menurunkan Berat Badan
178,40,laki-laki,181.9,95.1,78.3,sedang,jarang,sering,6,Menjaga Kesehatan
179,51,laki-laki,176.3,75.2,86.3,sedang,tidak pernah,sering,7,Meningkatkan Berat Badan
180,24,laki-laki,199.2,87.2,84.3,rendah,tidak pernah,sering,4,Menjaga Kesehatan
181,58,laki-laki,191.4,100.8,79.9,tinggi,jarang,jarang,9,Meningkatkan Kebugaran
182,30,laki-laki,177.7,74.4,79.2,rendah,tidak pernah,tidak pernah,6,Meningkatkan Berat Badan
183,27,laki-laki,173.2,58.5,60.9,tinggi,sering,jarang,4,Meningkatkan Kebugaran
184,21,laki-laki,171.1,51.2,65.3,tinggi,sering,tidak pernah,9,Meningkatkan Kebugaran
185,43,laki-laki,185.4,82.9,92.4,tinggi,sering,jarang,7,Meningkatkan Berat Badan
186,54,laki-laki,191.5,80.7,83.5,tinggi,sering,jarang,6,Meningkatkan Kebugaran
187,26,laki-laki,190.9,83.3,78.1,sedang,tidak pernah,jarang,4,Menjaga Kesehatan
188,64,laki-laki,168.3,90.6,82.6,rendah,tidak pernah,tidak pernah,6,Menurunkan Berat Badan
189,59,laki-laki,165.2,58.3,55.4,tinggi,tidak pernah,tidak pernah,8,Menjaga Kesehatan
190,54,laki-laki,180.3,107,90.5,tinggi,sering,sering,4,Menurunkan Berat Badan
191,26,laki-laki,164.5,69.7,61.9,rendah,tidak pernah,sering,5,Meningkatkan Kebugaran
192,25,laki-laki,192.8,104.5,90.9,tinggi,tidak pernah,sering,5,Menurunkan Berat Badan
193,42,laki-laki,197.6,99,84,sedang,sering,sering,5,Meningkatkan Kebugaran
194,59,laki-laki,170.8,89.1,73.3,sedang,jarang,jarang,4,Menurunkan Berat Badan
195,18,laki-laki,173.7,67.3,65.7,tinggi,sering,jarang,9,Menjaga Kesehatan
196,37,laki-laki,176.5,79.1,65.2,rendah,tidak pernah,jarang,8,Menurunkan Berat Badan
197,46,laki-laki,179.3,96.1,64.9,rendah,tidak pernah,sering,5,Meningkatkan Kebugaran
198,53,laki-laki,163.4,67.6,60.4,sedang,jarang,sering,5,Menjaga Kesehatan
199,24,laki-laki,186.6,75.9,83.5,rendah,tidak pernah,jarang,9,Meningkatkan Kebugaran
200,59,laki-laki,173.7,87.2,67.3,tinggi,sering,sering,6,Meningkatkan Kebugaran
201,53,laki-laki,185.6,76.5,83.2,tinggi,sering,sering,7,Meningkatkan Berat Badan
202,63,laki-laki,191.7,74.8,81.3,sedang,sering,jarang,9,Meningkatkan Kebugaran
203,20,laki-laki,184.8,71.6,80.4,sedang,sering,sering,9,Menjaga Kesehatan
204,49,laki-laki,184,93,75.2,sedang,tidak pernah,sering,7,Menurunkan Berat Badan
205,30,laki-laki,197.9,75.5,83.3,sedang,jarang,jarang,6,Meningkatkan Kebugaran
206,24,laki-laki,192.4,85.9,96.3,sedang,jarang,jarang,5,Meningkatkan Berat Badan
207,39,laki-laki,164,63.9,58.1,tinggi,sering,sering,4,Menjaga Kesehatan
208,52,laki-laki,168.5,72.7,62.5,rendah,tidak pernah,jarang,7,Menurunkan Berat Badan
209,39,laki-laki,187.5,88.4,75.9,tinggi,sering,tidak pernah,5,Menurunkan Berat Badan
210,36,laki-laki,178.6,74.8,76.9,rendah,tidak pernah,tidak pernah,8,Menjaga Kesehatan
211,57,laki-laki,164.4,53.9,55,sedang,jarang,sering,8,Menjaga Kesehatan
212,34,laki-laki,197.4,98.6,88.8,tinggi,jarang,sering,7,Meningkatkan Kebugaran
213,21,laki-laki,166.6,71.4,59.8,sedang,jarang,jarang,5,Menurunkan Berat Badan
214,21,laki-laki,168.4,76.6,58.5,rendah,tidak pernah,tidak pernah,9,Meningkatkan Kebugaran
215,45,laki-laki,178.8,88.3,68.4,rendah,tidak pernah,tidak pernah,5,Meningkatkan Kebugaran
216,44,laki-laki,178.6,84.2,68.8,sedang,jarang,jarang,9,Meningkatkan Kebugaran
217,27,laki-laki,164.9,76.7,71.8,rendah,tidak pernah,tidak pernah,7,Menurunkan Berat Badan
218,52,laki-laki,174.3,78.4,62.1,sedang,sering,jarang,6,Menjaga Kesehatan
219,41,laki-laki,196.1,98.8,80.3,rendah,tidak pernah,tidak pernah,4,Menurunkan Berat Badan
220,63,laki-laki,161.7,65.7,56.1,sedang,sering,tidak pernah,7,Menurunkan Berat Badan
221,56,laki-laki,172,70.6,72.4,rendah,sering,jarang,6,Meningkatkan Kebugaran
222,37,laki-laki,169.1,66.4,64.6,tinggi,sering,jarang,7,Menjaga Kesehatan
223,57,laki-laki,193.3,89.1,75.8,tinggi,sering,tidak pernah,7,Menjaga Kesehatan
224,28,laki-laki,165.4,75.3,69.7,tinggi,tidak pernah,jarang,7,Menurunkan Berat Badan
225,40,laki-laki,181.2,89.8,102.7,tinggi,sering,jarang,4,Meningkatkan Berat Badan
226,19,laki-laki,192.3,82.6,76.3,tinggi,jarang,jarang,4,Meningkatkan Kebugaran
227,35,laki-laki,163.6,78.1,56,sedang,sering,sering,5,Menjaga Kesehatan
228,40,laki-laki,191.6,85.9,74,tinggi,jarang,jarang,9,Meningkatkan Kebugaran
229,24,laki-laki,174.3,77.9,65.2,rendah,sering,jarang,8,Menurunkan Berat Badan
230,24,laki-laki,184.9,80,81.7,rendah,jarang,sering,7,Meningkatkan Kebugaran
231,28,laki-laki,174.5,92.8,87.7,rendah,tidak pernah,jarang,8,Menurunkan Berat Badan
232,41,laki-laki,195.6,111.4,102.9,tinggi,sering,tidak pernah,4,Menurunkan Berat Badan
233,25,laki-laki,195,83.4,77,rendah,tidak pernah,jarang,6,Menurunkan Berat Badan
234,27,laki-laki,176.1,70.7,73.4,sedang,sering,jarang,5,Meningkatkan Kebugaran
235,48,laki-laki,164.5,69.1,77.2,tinggi,sering,jarang,9,Meningkatkan Berat Badan
236,62,laki-laki,190.8,102.5,96.1,tinggi,jarang,sering,6,Menurunkan Berat Badan
237,28,laki-laki,160,67.9,59.8,tinggi,jarang,jarang,8,Menjaga Kesehatan
238,43,laki-laki,187.2,89,76.7,rendah,tidak pernah,sering,7,Menurunkan Berat Badan
239,49,laki-laki,168.8,70.8,58.4,rendah,jarang,tidak pernah,9,Meningkatkan Kebugaran
240,30,laki-laki,191.4,66.6,71.2,sedang,sering,jarang,6,Meningkatkan Berat Badan
241,63,laki-laki,184.6,94.8,86.2,rendah,tidak pernah,sering,6,Menurunkan Berat Badan
242,23,laki-laki,162.5,63.9,62.1,sedang,jarang,sering,8,Meningkatkan Kebugaran
243,44,laki-laki,185.3,89.2,82.5,rendah,tidak pernah,jarang,7,Menurunkan Berat Badan
244,48,laki-laki,177,66.9,65.5,rendah,tidak pernah,sering,9,Meningkatkan Kebugaran
245,32,laki-laki,178.4,90.9,77.9,tinggi,sering,jarang,8,Menurunkan Berat Badan
246,18,laki-laki,179.3,73.3,66,rendah,tidak pernah,tidak pernah,8,Meningkatkan Kebugaran
247,27,laki-laki,186.5,78.7,80.4,rendah,tidak pernah,sering,9,Menjaga Kesehatan
248,25,laki-laki,180.7,70.3,71.9,sedang,sering,jarang,7,Meningkatkan Kebugaran
249,63,laki-laki,188.8,116.4,101.2,tinggi,sering,jarang,4,Menurunkan Berat Badan
250,23,laki-laki,179.3,78.5,70.6,rendah,jarang,jarang,4,Meningkatkan Kebugaran
251,36,laki-laki,188.5,73.2,64.9,sedang,jarang,jarang,5,Menurunkan Berat Badan
252,62,laki-laki,173,75.7,62.7,tinggi,jarang,tidak pernah,6,Menurunkan Berat Badan
253,50,laki-laki,171.2,88.1,83,sedang,jarang,jarang,5,Menurunkan Berat Badan
254,33,laki-laki,184.8,61.2,68.1,rendah,tidak pernah,sering,9,Meningkatkan Berat Badan
255,58,laki-laki,180.9,111.3,98.3,rendah,jarang,sering,6,Menurunkan Berat Badan
256,39,laki-laki,182.7,86.9,73.6,rendah,tidak pernah,sering,5,Menurunkan Berat Badan
257,56,laki-laki,181.3,91.7,75.5,rendah,jarang,jarang,5,Menjaga Kesehatan
258,57,laki-laki,190.1,100.2,87.7,rendah,sering,sering,8,Menurunkan Berat Badan
259,58,laki-laki,192.8,115,80.5,sedang,jarang,sering,8,Meningkatkan Kebugaran
260,53,laki-laki,192.2,100.2,84.7,sedang,jarang,jarang,8,Meningkatkan Kebugaran
261,39,laki-laki,182.2,86.2,69.2,rendah,sering,jarang,6,Meningkatkan Kebugaran
262,38,laki-laki,166.5,59.9,65.5,tinggi,tidak pernah,jarang,9,Menjaga Kesehatan
263,23,laki-laki,176.3,83.4,74.5,sedang,sering,sering,6,Menjaga Kesehatan
264,26,laki-laki,161.8,41.9,46.4,sedang,sering,tidak pernah,4,Meningkatkan Berat Badan
265,28,laki-laki,174.4,66.8,74.2,sedang,jarang,sering,4,Meningkatkan Berat Badan
266,40,laki-laki,191.8,89.1,86.3,rendah,tidak pernah,jarang,6,Meningkatkan Kebugaran
267,44,laki-laki,196.5,94.5,79,tinggi,jarang,jarang,6,Menjaga Kesehatan
268,61,laki-laki,198.1,107,93.3,sedang,jarang,jarang,6,Meningkatkan Kebugaran
269,62,laki-laki,162.1,54,56.9,tinggi,jarang,jarang,6,Meningkatkan Kebugaran
270,24,laki-laki,196.6,106.6,90.8,tinggi,sering,jarang,9,Menurunkan Berat Badan
271,24,laki-laki,174.5,75.9,63.1,tinggi,sering,tidak pernah,4,Menjaga Kesehatan
272,27,laki-laki,189.6,90.8,81.4,rendah,tidak pernah,jarang,8,Menurunkan Berat Badan
273,63,laki-laki,168.9,74.3,81.9,tinggi,sering,jarang,4,Meningkatkan Berat Badan
274,43,laki-laki,165.6,83.5,71.5,sedang,jarang,jarang,4,Menurunkan Berat Badan
275,57,laki-laki,173.9,90.6,69.1,rendah,tidak pernah,jarang,6,Meningkatkan Kebugaran
276,58,laki-laki,174.5,79.7,74.8,sedang,jarang,jarang,9,Menurunkan Berat Badan
277,22,laki-laki,164.4,53.8,58.3,rendah,tidak pernah,tidak pernah,5,Meningkatkan Berat Badan
